NIVEAU;BRANCHE;LIB_NAF;Tranche de taille d'effectif;Chiffre d'affaires de la branche
a10 ;AZ ;Exploitation forestière ;Ensemble des tranches d'effectif ;2297
a10 ;AZ ;Exploitation forestière ;De 0 à 9 salariés en ETP ;1030,6
a10 ;AZ ;Exploitation forestière ;De 10 à 19 salariés en ETP ;S
a10 ;AZ ;Exploitation forestière ;De 20 à 249 salariés en ETP ;S
a10 ;AZ ;Exploitation forestière ;Plus de 250 salariés en ETP ;S
a21 ;A ;Exploitation forestière ;Ensemble des tranches d'effectif ;2297
a21 ;A ;Exploitation forestière ;De 0 à 9 salariés en ETP ;1030,6
a21 ;A ;Exploitation forestière ;De 10 à 19 salariés en ETP ;S
a21 ;A ;Exploitation forestière ;De 20 à 249 salariés en ETP ;S
a21 ;A ;Exploitation forestière ;Plus de 250 salariés en ETP ;S
a88 ;1;Culture et production animale, chasse et services annexes ;Ensemble des tranches d'effectif ;743,4
a88 ;1;Culture et production animale, chasse et services annexes ;De 0 à 9 salariés en ETP ;109
a88 ;1;Culture et production animale, chasse et services annexes ;De 10 à 19 salariés en ETP ;15,6
a88 ;1;Culture et production animale, chasse et services annexes ;De 20 à 249 salariés en ETP ;299,4
a88 ;1;Culture et production animale, chasse et services annexes ;Plus de 250 salariés en ETP ;319,4
a272 ;11;Cultures non permanentes ;Ensemble des tranches d'effectif ;253,7
a272 ;11;Cultures non permanentes ;De 0 à 9 salariés en ETP ;29,2
a272 ;11;Cultures non permanentes ;De 10 à 19 salariés en ETP ;2,1
a272 ;11;Cultures non permanentes ;De 20 à 249 salariés en ETP ;57,5
a272 ;11;Cultures non permanentes ;Plus de 250 salariés en ETP ;165,1
a272 ;12;Cultures permanentes ;Ensemble des tranches d'effectif ;0,5
a272 ;12;Cultures permanentes ;De 0 à 9 salariés en ETP ;0,5
a272 ;12;Cultures permanentes ;De 10 à 19 salariés en ETP ;N
a272 ;12;Cultures permanentes ;De 20 à 249 salariés en ETP ;N
a272 ;12;Cultures permanentes ;Plus de 250 salariés en ETP ;N
a272 ;13;Reproduction de plantes ;Ensemble des tranches d'effectif ;165,8
a272 ;13;Reproduction de plantes ;De 0 à 9 salariés en ETP ;68
a272 ;13;Reproduction de plantes ;De 10 à 19 salariés en ETP ;2
a272 ;13;Reproduction de plantes ;De 20 à 249 salariés en ETP ;9,8
a272 ;13;Reproduction de plantes ;Plus de 250 salariés en ETP ;85,9
a272 ;14;Production animale ;Ensemble des tranches d'effectif ;294,7
a272 ;14;Production animale ;De 0 à 9 salariés en ETP ;1,8
a272 ;14;Production animale ;De 10 à 19 salariés en ETP ;4,6
a272 ;14;Production animale ;De 20 à 249 salariés en ETP ;222,2
a272 ;14;Production animale ;Plus de 250 salariés en ETP ;66,1
a272 ;15;Culture et élevage associés ;Ensemble des tranches d'effectif ;1,3
a272 ;15;Culture et élevage associés ;De 0 à 9 salariés en ETP ;N
a272 ;15;Culture et élevage associés ;De 10 à 19 salariés en ETP ;N
a272 ;15;Culture et élevage associés ;De 20 à 249 salariés en ETP ;N
a272 ;15;Culture et élevage associés ;Plus de 250 salariés en ETP ;1,3
a272 ;16;Activités de soutien à l'agriculture et traitement primaire des récoltes ;Ensemble des tranches d'effectif ;27,5
a272 ;16;Activités de soutien à l'agriculture et traitement primaire des récoltes ;De 0 à 9 salariés en ETP ;9,5
a272 ;16;Activités de soutien à l'agriculture et traitement primaire des récoltes ;De 10 à 19 salariés en ETP ;6,9
a272 ;16;Activités de soutien à l'agriculture et traitement primaire des récoltes ;De 20 à 249 salariés en ETP ;9,9
a272 ;16;Activités de soutien à l'agriculture et traitement primaire des récoltes ;Plus de 250 salariés en ETP ;1,1
a88 ;2;Exploitation forestière ;Ensemble des tranches d'effectif ;1550,8
a88 ;2;Exploitation forestière ;De 0 à 9 salariés en ETP ;921,1
a88 ;2;Exploitation forestière ;De 10 à 19 salariés en ETP ;S
