NIVEAU;BRANCHE;LIB_NAF;Tranche de taille d'effectif;Chiffre d'affaires de la branche
a10 ;AZ ;Exploitation forestière ;Ensemble des tranches d'effectif ;2239,2
a10 ;AZ ;Exploitation forestière ;De 0 à 9 salariés en ETP ;1111,1
a10 ;AZ ;Exploitation forestière ;De 10 à 19 salariés en ETP ;S
a10 ;AZ ;Exploitation forestière ;De 20 à 249 salariés en ETP ;S
a10 ;AZ ;Exploitation forestière ;Plus de 250 salariés en ETP ;S
a21 ;A ;Exploitation forestière ;Ensemble des tranches d'effectif ;2239,2
a21 ;A ;Exploitation forestière ;De 0 à 9 salariés en ETP ;1111,1
a21 ;A ;Exploitation forestière ;De 10 à 19 salariés en ETP ;S
a21 ;A ;Exploitation forestière ;De 20 à 249 salariés en ETP ;S
a21 ;A ;Exploitation forestière ;Plus de 250 salariés en ETP ;S
a88 ;1;Culture et production animale, chasse et services annexes ;Ensemble des tranches d'effectif ;673
a88 ;1;Culture et production animale, chasse et services annexes ;De 0 à 9 salariés en ETP ;175,6
a88 ;1;Culture et production animale, chasse et services annexes ;De 10 à 19 salariés en ETP ;18,9
a88 ;1;Culture et production animale, chasse et services annexes ;De 20 à 249 salariés en ETP ;142,6
a88 ;1;Culture et production animale, chasse et services annexes ;Plus de 250 salariés en ETP ;335,9
a272 ;11;Cultures non permanentes ;Ensemble des tranches d'effectif ;317,5
a272 ;11;Cultures non permanentes ;De 0 à 9 salariés en ETP ;77,2
a272 ;11;Cultures non permanentes ;De 10 à 19 salariés en ETP ;3,5
a272 ;11;Cultures non permanentes ;De 20 à 249 salariés en ETP ;54,6
a272 ;11;Cultures non permanentes ;Plus de 250 salariés en ETP ;182,2
a272 ;12;Cultures permanentes ;Ensemble des tranches d'effectif ;0,5
a272 ;12;Cultures permanentes ;De 0 à 9 salariés en ETP ;N
a272 ;12;Cultures permanentes ;De 10 à 19 salariés en ETP ;0,5
a272 ;12;Cultures permanentes ;De 20 à 249 salariés en ETP ;N
a272 ;12;Cultures permanentes ;Plus de 250 salariés en ETP ;N
a272 ;13;Reproduction de plantes ;Ensemble des tranches d'effectif ;153
a272 ;13;Reproduction de plantes ;De 0 à 9 salariés en ETP ;91,3
a272 ;13;Reproduction de plantes ;De 10 à 19 salariés en ETP ;N
a272 ;13;Reproduction de plantes ;De 20 à 249 salariés en ETP ;8,2
a272 ;13;Reproduction de plantes ;Plus de 250 salariés en ETP ;53,6
a272 ;14;Production animale ;Ensemble des tranches d'effectif ;149,6
a272 ;14;Production animale ;De 0 à 9 salariés en ETP ;N
a272 ;14;Production animale ;De 10 à 19 salariés en ETP ;1,6
a272 ;14;Production animale ;De 20 à 249 salariés en ETP ;53,8
a272 ;14;Production animale ;Plus de 250 salariés en ETP ;94,2
a272 ;15;Culture et élevage associés ;Ensemble des tranches d'effectif ;1,3
a272 ;15;Culture et élevage associés ;De 0 à 9 salariés en ETP ;0,1
a272 ;15;Culture et élevage associés ;De 10 à 19 salariés en ETP ;N
a272 ;15;Culture et élevage associés ;De 20 à 249 salariés en ETP ;N
a272 ;15;Culture et élevage associés ;Plus de 250 salariés en ETP ;1,2
a272 ;16;Activités de soutien à l'agriculture et traitement primaire des récoltes ;Ensemble des tranches d'effectif ;51,1
a272 ;16;Activités de soutien à l'agriculture et traitement primaire des récoltes ;De 0 à 9 salariés en ETP ;7
a272 ;16;Activités de soutien à l'agriculture et traitement primaire des récoltes ;De 10 à 19 salariés en ETP ;13,3
a272 ;16;Activités de soutien à l'agriculture et traitement primaire des récoltes ;De 20 à 249 salariés en ETP ;26
a272 ;16;Activités de soutien à l'agriculture et traitement primaire des récoltes ;Plus de 250 salariés en ETP ;4,8
a88 ;2;Exploitation forestière ;Ensemble des tranches d'effectif ;1566,1
a88 ;2;Exploitation forestière ;De 0 à 9 salariés en ETP ;935,5
a88 ;2;Exploitation forestière ;De 10 à 19 salariés en ETP ;S
a88 ;2;Exploitation forestière ;De 20 à 249 salariés en ETP ;S
a88 ;2;Exploitation forestière ;Plus de 250 salariés en ETP ;S
a272 ;21;Sylviculture et autres activités forestières ;Ensemble des tranches d'effectif ;82
a272 ;21;Sylviculture et autres activités forestières ;De 0 à 9 salariés en ETP ;4,5
a272 ;21;Sylviculture et autres activités forestières ;De 10 à 19 salariés en ETP ;S
a272 ;21;Sylviculture et autres activités forestières ;De 20 à 249 salariés en ETP ;S
a272 ;21;Sylviculture et autres activités forestières ;Plus de 250 salariés en ETP ;S
a272 ;22;Exploitation forestière ;Ensemble des tranches d'effectif ;1477,5
a272 ;22;Exploitation forestière ;De 0 à 9 salariés en ETP ;929
a272 ;22;Exploitation forestière ;De 10 à 19 salariés en ETP ;S
a272 ;22;Exploitation forestière ;De 20 à 249 salariés en ETP ;S
a272 ;22;Exploitation forestière ;Plus de 250 salariés en ETP ;S
a272 ;24;Services de soutien à l'exploitation forestière ;Ensemble des tranches d'effectif ;6,7
a272 ;24;Services de soutien à l'exploitation forestière ;De 0 à 9 salariés en ETP ;2
a272 ;24;Services de soutien à l'exploitation forestière ;De 10 à 19 salariés en ETP ;S
a272 ;24;Services de soutien à l'exploitation forestière ;De 20 à 249 salariés en ETP ;S
a272 ;24;Services de soutien à l'exploitation forestière ;Plus de 250 salariés en ETP ;N
a88 ;3;Pêche et aquaculture ;Ensemble des tranches d'effectif ;0,1
a88 ;3;Pêche et aquaculture ;De 0 à 9 salariés en ETP ;N
a88 ;3;Exploitation forestière ;De 10 à 19 salariés en ETP ;N
a88 ;3;Pêche et aquaculture ;De 20 à 249 salariés en ETP ;N
a88 ;3;Pêche et aquaculture ;Plus de 250 salariés en ETP ;0,1
a272 ;32;Aquaculture ;Ensemble des tranches d'effectif ;0,1
a272 ;32;Aquaculture ;De 0 à 9 salariés en ETP ;N
a272 ;32;Aquaculture ;De 10 à 19 salariés en ETP ;N
a272 ;32;Aquaculture ;De 20 à 249 salariés en ETP ;N
a272 ;32;Aquaculture ;Plus de 250 salariés en ETP ;0,1
a10 ;BE ;Industrie manufacturière, industries extractives  et autres ;Ensemble des tranches d'effectif ;857462
a10 ;BE ;Industrie manufacturière, industries extractives  et autres ;De 0 à 9 salariés en ETP ;74043,5
a10 ;BE ;Industrie manufacturière, industries extractives  et autres ;De 10 à 19 salariés en ETP ;31317,6
a10 ;BE ;Industrie manufacturière, industries extractives  et autres ;De 20 à 249 salariés en ETP ;232015,4
